Continent,Country,Code
Asia,아프가니스탄,AF
Asia,아르메니아,AM
Asia,아제르바이잔,AZ
Asia,방글라데시,BD
Asia,브루나이,BN
Asia,부탄,BT
Asia,중국,CN
Asia,홍콩,HK
Asia,인도네시아,ID
Asia,인도(인디아),IN
Asia,일본,JP
Asia,키르기스스탄,KG
Asia,캄보디아,KH
Asia,카자흐스탄,KZ
Asia,라오스,LA
Asia,스리랑카,LK
Asia,미얀마,MM
Asia,몽골,MN
Asia,마카오,MO
Asia,몰디브,MV
Asia,말레이시아,MY
Asia,네팔,NP
Asia,필리핀,PH
Asia,파키스탄,PK
Asia,싱가포르,SG
Asia,태국,TH
Asia,타지키스탄,TJ
Asia,동티모르,TL
Asia,투르크메니스탄,TM
Asia,티모르,TP
Asia,대만,TW
Asia,우즈베키스탄,UZ
Asia,베트남,VN
Mid Eastern,아랍에미리트연합,AE
Mid Eastern,바레인,BH
Mid Eastern,알제리,DZ
Mid Eastern,이집트,EG
Mid Eastern,이스라엘,IL
Mid Eastern,이라크,IQ
Mid Eastern,이란,IR
Mid Eastern,요르단,JO
Mid Eastern,쿠웨이트,KW
Mid Eastern,레바논,LB
Mid Eastern,리비아,LY
Mid Eastern,모로코,MA
Mid Eastern,모리타니,MR
Mid Eastern,중립지대,NT
Mid Eastern,오만,OM
Mid Eastern,팔레스타인해방기구,PS
Mid Eastern,카타르,QA
Mid Eastern,사우디아라비아,SA
Mid Eastern,수단,SD
Mid Eastern,시리아,SY
Mid Eastern,튀니지,TN
Mid Eastern,남예멘,YD
Mid Eastern,예멘,YE
Europe,안도라,AD
Europe,알바니아,AL
Europe,오스트리아,AT
Europe,보스니아-헤르체고비나,BA
Europe,벨기에,BE
Europe,불가리아,BG
Europe,벨라루스,BY
Europe,스위스,CH
Europe,세르비아와몬테네그로,CS
Europe,키프로스,CY
Europe,체코,CZ
Europe,독일,DE
Europe,덴마크,DK
Europe,에스토니아,EE
Europe,스페인,ES
Europe,핀란드,FI
Europe,파로에군도,FO
Europe,프랑스,FR
Europe,프랑스메트로폴리탄,FX
Europe,영국,GB
Europe,조지아,GE
Europe,건지,GG
Europe,지브롤터,GI
Europe,그리스,GR
Europe,남조지아&남샌드위치군도,GS
Europe,크로아티아,HR
Europe,헝가리,HU
Europe,아일랜드,IE
Europe,맨섬,IM
Europe,아이슬란드,IS
Europe,이탈리아,IT
Europe,저지,JE
Europe,리히텐슈타인,LI
Europe,리투아니아,LT
Europe,룩셈부르크,LU
Europe,라트비아,LV
Europe,모나코,MC
Europe,몰도바,MD
Europe,몬테네그로,ME
Europe,세인트마틴,MF
Europe,마케도니아,MK
Europe,몰타,MT
Europe,네덜란드,NL
